File Design Information:,,,,,
,,,,,
Date:       23/03/20,,,,,
Time:       15:09,,,,,
Revision:   Not in VersionControl,,,,,
Variant:    No variations,,,,,
Units used: mil,,,,,
,,,,,
Designator,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation
L2,TopLayer,COIL_0201_L,531,1148,270
C13,TopLayer,C0201_L,519.827,1195,180
U1,TopLayer,QFN48_M050_SQ7.0_EP_SL_L,446.85,669.291,180
L5,TopLayer,COIL_0201_L,544,849,180
L4,TopLayer,COIL_0402_L,466,1005.331,270
L3,TopLayer,COIL_0201_L,503,833,180
C1,TopLayer,C0201_L,390,895,360
P1,TopLayer,TE_SMA_TH_1814832,1007.874,1519.685,360
RP200,BottomLayer,RES_MNR04-8,639.763,460.629,90
AT1,TopLayer,ANT_INV_F_2.4_GHZ_17.3MM_MIR,127.606,1389.37,360
L103,TopLayer,COIL_MUR_BLM18_0603,277.559,909.449,360
L102,TopLayer,COIL_MUR_BLM18_0603,706,675.559,90
L100,TopLayer,COIL_MUR_LQH3NP_1212,292.323,423.228,270
L1,TopLayer,COIL_0201_L,401,865,90
SH100,TopLayer,RF_SHIELD_FRAME_BMI-S-203-F_PCB4100,590.551,759.842,360
U100,TopLayer,BGA8_M040_1.24x1.75_WLCSP,576.693,446.85,180
X1,TopLayer,X_SSS_DSX211SH_2.05X1.65-4,650.441,776.346,360
X2,TopLayer,X_MCS_CM8V-T1A,224.331,557.087,90
P2,TopLayer,HIROSE_U.FL-R-SMT-1,197.835,1041.339,270
L101,TopLayer,WURTH_CBF_0603,139.764,661.417,90
U200,BottomLayer,TDFN8_M050_2.0x3.0_EP,923.228,803.149,360
P201,BottomLayer,SAM_SFC-120-T2-D-A-2X20_SNUM,590.551,196.85,360
P200,BottomLayer,SAM_SFC-120-T2-D-A-2X20_SNUM,590.551,1141.732,360
TPJ1,BottomLayer,TP_1.0_SMD,698.819,344.488,90
TPJ2,BottomLayer,TP_1.0_SMD,712.598,979.528,90
TPJ3,BottomLayer,TP_1.0_SMD,696.85,444.882,90
TPJ4,BottomLayer,TP_1.0_SMD,750,769.685,90
TPJ5,BottomLayer,TP_1.0_SMD,612.205,775.591,90
TPJ6,BottomLayer,TP_1.0_SMD,748.819,868.898,90
TPJ7,BottomLayer,TP_1.0_SMD,649.212,867.323,90
TPJ8,BottomLayer,TP_1.0_SMD,614.173,960.63,90
TPJ9,BottomLayer,TP_1.0_SMD,1096.457,492.126,90
TPJ10,BottomLayer,TP_1.0_SMD,1001.968,679.134,90
TPJ11,BottomLayer,TP_1.0_SMD,1047.244,580.709,90
TPJ12,BottomLayer,TP_1.0_SMD,1021.653,1001.968,90
TPJ13,BottomLayer,TP_1.0_SMD,968.504,519.685,90
TPJ14,BottomLayer,TP_1.0_SMD,1037.401,795.276,90
TPJ15,BottomLayer,TP_1.0_SMD,1037.401,897.638,90
TPJ16,BottomLayer,TP_1.0_SMD,954.724,344.488,90
TPJ17,BottomLayer,TP_1.0_SMD,612.205,673.228,90
C102,TopLayer,C0402_L,665,681.716,270
C103,TopLayer,C0402_L,632,681.284,270
C106,TopLayer,C0402_L,301.181,866.142,180
C107,TopLayer,C0201_L,372.047,862.205,90
C110,TopLayer,C0603_L,462.598,387.795,360
C111,TopLayer,C0402_L,387.717,460.63,270
C113,TopLayer,C0402_L,257.795,643.701,90
C115,TopLayer,C0402_L,387.795,389.764,90
C116,TopLayer,C0402_L,420.276,460.63,270
C124,TopLayer,C0402_L,580.709,387.795,180
C200,BottomLayer,C0402_L,988.189,842.52,90
C201,BottomLayer,C0402_L,154.528,313.976,360
C203,BottomLayer,C0402_L,154.528,343.504,360
C205,BottomLayer,C0805_L,153.543,389.764,360
C207,BottomLayer,C0402_L,628.937,723.425,360
R1,TopLayer,R0402_L,374.016,1061.024,90
R2,TopLayer,R0402_L,356.299,1043.307,180
R100,TopLayer,R0402_L,179.134,643.701,270
R200,BottomLayer,R0402_L,944,700.787,360
R201,BottomLayer,R0402_L,156.496,439.961,360
C3,TopLayer,C0201_L,500,872,270
C4,TopLayer,C0201_L,474,872,270
C5,TopLayer,C0201_L,427.827,1010,180
C6,TopLayer,C0201_L,614.827,830,360
C8,TopLayer,C0201_L,531,887,270
C10,TopLayer,C0201_L,542,942.662,360
C112,TopLayer,C0603_L,218.504,661.417,90
C114,TopLayer,C0402_L,486.22,460.629,270
C117,TopLayer,C0402_L,454.724,460.629,270
L6,TopLayer,COIL_0201_L,579,839,90
L7,TopLayer,COIL_0201_L,604,865.811,270
R103,TopLayer,R0402_L,531.496,395.669,90
R210,BottomLayer,R0402_L,173.228,493.11,270
R211,BottomLayer,R0402_L,190.945,510.827,360
TP1,BottomLayer,TP_INGUN_50_OHM_CLOSED_openvia,938.779,1281.89,180
TPJ18,BottomLayer,TP_1.0_SMD,320.866,370.866,90
TPJ19,BottomLayer,TP_1.0_SMD,236.22,330.709,90
TPJ20,BottomLayer,TP_1.0_SMD,131.496,57.087,90
R203,BottomLayer,R0402_L,213.583,841.535,90
R204,BottomLayer,R0402_L,195.866,859.252,360
R206,BottomLayer,R0402_L,865.158,562.992,180
R205,BottomLayer,R0402_L,847.441,545.275,90
C11,TopLayer,C0201_L,520,1025.235,180
C12,TopLayer,C0201_L,541.605,1103,360
C14,TopLayer,C0201_L,568,877,360
L8,TopLayer,COIL_0201_L,531,987,270
L9,TopLayer,COIL_0201_L,531,1066,270
