RefDes;X;Y;Rot.;Exact;(FREE);Side
BAL1;562;1004;0;EXACT;(FREE);Top
C1;460;882;90;EXACT;(FREE);Top
C2;405;886;180;EXACT;(FREE);Top
C3;480;1022;270;EXACT;(FREE);Top
C4;442;1060;270;EXACT;(FREE);Top
C5;349,5276;460,6299;90;EXACT;(FREE);Top
C6;379;357;180;EXACT;(FREE);Top
C7;195;642;270;EXACT;(FREE);Top
C8;154;656;270;EXACT;(FREE);Top
C9;472;460,76;90;EXACT;(FREE);Top
C10;388,8976;460,6299;90;EXACT;(FREE);Top
C11;430;460,51;90;EXACT;(FREE);Top
C12;645;838;180;EXACT;(FREE);Top
C13;281;281;90;EXACT;(FREE);Top
C14;638;690;180;EXACT;(FREE);Top
C15;638;652;180;EXACT;(FREE);Top
CB;562;942;0;EXACT;(FREE);Top
CC1;368;959;180;EXACT;(FREE);Top
CHF0;552;1065;0;EXACT;(FREE);Top
CHF1;624;1103;0;EXACT;(FREE);Top
CHF2;624;1179;180;EXACT;(FREE);Top
J1;479,4488;188,9764;0;EXACT;(FREE);Top
L1;498;882;270;EXACT;(FREE);Top
L2;423;941;270;EXACT;(FREE);Top
L3;480;937;0;EXACT;(FREE);Top
L5;251;402;270;EXACT;(FREE);Top
LHF0;552;1103;180;EXACT;(FREE);Top
LHF1;624;1141;180;EXACT;(FREE);Top
LM1;582;887;270;EXACT;(FREE);Top
LM2;542;887;270;EXACT;(FREE);Top
RX;222;1402;0;EXACT;(FREE);Top
TX;722;1402;0;EXACT;(FREE);Top
U1;429,0081;675,4897;90;EXACT;(FREE);Top
X1;628;738;0;EXACT;(FREE);Top
X2;207,8;519;0;EXACT;(FREE);Top
